instance (.mc),M=05,N=05,M=05,N=10,M=05,N=15,M=10,N=05,M=10,N=10,M=10,N=15,M=15,N=05,M=15,N=10,M=15,N=15,M=20,N=05,M=20,N=10,M=20,N=15,M=30,N=05,M=30,N=10,M=30,N=15,M=40,N=05,M=40,N=10,M=40,N=15,M=50,N=05,M=50,N=10,M=50,N=15
be100.1.mc,19412,89,19412,105,19412,115,19412,151,19412,196,19412,252,19412,202,19412,316,19412,404,19412,281,19412,405,19412,494,19412,399,19412,592,19412,802,19412,548,19412,750,19412,970,19412,677,19412,911,19412,1303
be100.10.mc,15352,59,15352,91,15352,140,15352,140,15352,181,15352,261,15352,180,15352,272,15352,392,15352,246,15352,382,15352,520,15352,384,15352,572,15352,752,15352,485,15352,793,15352,1030,15352,602,15352,963,15352,1267
be100.2.mc,17290,60,17290,105,17290,125,17290,101,17290,192,17290,207,17290,158,17290,240,17290,380,17290,224,17290,340,17290,446,17290,333,17290,526,17290,685,17290,421,17290,714,17290,891,17290,546,17290,825,17290,1222
be100.3.mc,17565,57,17532,83,17565,103,17565,106,17565,162,17565,235,17565,173,17565,253,17565,368,17565,248,17565,358,17565,460,17565,374,17565,495,17565,732,17565,506,17565,740,17565,928,17565,637,17565,923,17565,1169
be100.4.mc,19125,58,19125,93,19125,139,19125,123,19125,190,19125,300,19125,201,19125,370,19125,440,19125,257,19125,465,19125,558,19125,368,19125,631,19125,887,19125,546,19125,733,19125,1201,19125,596,19125,1037,19125,1434
be100.5.mc,15868,54,15868,89,15868,121,15868,123,15868,198,15868,230,15868,178,15868,330,15868,353,15868,217,15868,370,15868,495,15868,346,15868,539,15868,812,15868,478,15868,754,15868,954,15868,640,15868,884,15868,1274
be100.6.mc,17368,58,17368,89,17368,133,17368,124,17368,181,17368,262,17368,158,17368,257,17368,355,17368,263,17368,359,17368,453,17368,336,17368,521,17368,688,17368,475,17368,688,17368,971,17368,608,17368,851,17368,1179
be100.7.mc,18629,66,18629,114,18629,109,18629,126,18629,217,18629,292,18629,225,18629,286,18629,392,18629,285,18629,426,18629,551,18629,397,18629,563,18629,752,18629,524,18629,885,18629,1087,18629,673,18629,958,18629,1226
be100.8.mc,18649,67,18641,105,18641,122,18641,110,18649,186,18649,243,18649,179,18641,273,18649,415,18649,275,18649,374,18649,538,18649,419,18649,552,18649,795,18649,464,18649,774,18649,1127,18649,658,18649,960,18649,1288
be100.9.mc,13287,44,13294,89,13294,132,13294,122,13294,195,13294,233,13294,211,13294,255,13294,420,13294,278,13294,448,13294,521,13294,375,13294,605,13294,766,13294,544,13294,793,13294,1075,13294,649,13294,969,13294,1320
be120.3.1.mc,13060,73,13060,89,13067,121,13067,121,13067,186,13067,324,13067,168,13067,313,13067,373,13067,273,13067,440,13067,552,13067,421,13067,611,13067,767,13067,588,13067,895,13067,1020,13067,685,13067,1145,13067,1353
be120.3.10.mc,12201,64,12201,86,12201,118,12201,137,12201,210,12201,281,12201,211,12201,309,12201,481,12201,266,12201,419,12201,564,12201,384,12201,683,12201,807,12201,546,12201,873,12201,1129,12201,652,12201,984,12201,1392
be120.3.2.mc,13046,58,13046,101,13046,137,13046,130,13046,217,13046,295,13046,200,13046,283,13046,421,13046,295,13046,365,13046,595,13046,375,13046,648,13046,779,13046,561,13046,811,13046,1178,13046,717,13046,1098,13046,1433
be120.3.3.mc,12418,74,12372,96,12418,134,12418,128,12418,178,12418,268,12418,202,12418,315,12418,396,12418,249,12418,401,12418,556,12418,358,12418,626,12418,711,12418,520,12418,783,12418,1027,12418,645,12418,997,12418,1386
be120.3.4.mc,13867,65,13867,92,13867,122,13867,116,13867,186,13867,276,13867,216,13867,312,13867,448,13867,266,13867,411,13867,550,13867,400,13867,589,13867,817,13867,562,13867,788,13867,1072,13867,649,13867,1019,13867,1420
be120.3.5.mc,11403,89,11403,145,11403,136,11403,171,11403,252,11403,285,11403,233,11403,356,11403,465,11403,353,11403,452,11403,651,11403,456,11403,671,11403,841,11403,751,11403,905,11403,1134,11403,813,11403,1137,11403,1416
be120.3.6.mc,12915,88,12915,94,12915,135,12866,149,12915,209,12915,263,12915,192,12915,329,12915,416,12915,257,12915,376,12915,560,12915,431,12915,628,12915,784,12915,562,12915,820,12915,1078,12915,706,12915,1053,12915,1399
be120.3.7.mc,14068,63,14068,103,14068,109,14068,142,14068,213,14068,284,14068,232,14068,332,14068,453,14068,277,14068,437,14068,538,14068,454,14068,662,14068,803,14068,572,14068,847,14068,1045,14068,758,14068,1123,14068,1422
be120.3.8.mc,14655,62,14559,100,14701,157,14701,135,14701,240,14701,332,14701,207,14701,404,14701,444,14701,273,14701,447,14701,576,14701,447,14701,652,14701,781,14701,576,14701,876,14701,1162,14701,713,14701,1052,14701,1440
be120.3.9.mc,10458,68,10458,92,10458,129,10458,141,10458,175,10458,256,10458,183,10458,274,10458,400,10458,263,10458,406,10458,530,10458,408,10458,636,10458,807,10458,501,10458,775,10458,1019,10458,640,10458,883,10458,1275
be120.8.1.mc,18691,71,18691,89,18683,126,18691,144,18683,232,18691,288,18691,206,18691,295,18683,419,18691,283,18691,406,18683,545,18691,409,18691,604,18691,839,18691,539,18691,801,18691,1162,18691,677,18691,998,18691,1371
be120.8.10.mc,19049,73,19049,106,19049,125,19049,142,19049,218,19049,264,19049,206,19049,329,19049,345,19049,236,19049,393,19049,513,19049,445,19049,618,19049,793,19049,528,19049,812,19049,1057,19049,699,19049,1015,19049,1294
be120.8.2.mc,18790,58,18827,108,18790,147,18827,185,18827,231,18827,260,18827,230,18797,315,18827,444,18827,282,18827,455,18827,622,18827,476,18827,705,18827,860,18827,607,18827,926,18827,1212,18827,718,18827,1191,18827,1409
be120.8.3.mc,19302,69,19302,94,19302,131,19302,130,19302,205,19302,264,19302,202,19302,309,19302,385,19302,283,19302,402,19302,542,19302,468,19302,633,19302,787,19302,520,19302,938,19302,1133,19302,701,19302,1083,19302,1341
be120.8.4.mc,20765,60,20765,93,20765,136,20765,176,20765,245,20765,275,20765,209,20765,341,20765,444,20765,262,20765,450,20765,508,20765,431,20765,651,20765,842,20765,583,20765,906,20765,1097,20765,702,20765,1111,20765,1588
