M=10,N=10
15352.000000,181
19412.000000,199
17290.000000,210
17565.000000,169
19125.000000,194
15868.000000,176
17368.000000,168
18629.000000,235
18649.000000,173
13294.000000,213
12201.000000,210
13067.000000,196
13046.000000,216
12418.000000,196
13867.000000,218
11403.000000,229
12915.000000,211
14068.000000,215
14701.000000,205
10458.000000,210
19049.000000,200
18691.000000,228
18797.000000,214
19302.000000,171
20765.000000,212
20417.000000,214
18482.000000,196
22194.000000,231
19534.000000,199
18195.000000,228
17924.000000,220
18889.000000,216
17816.000000,248
17314.000000,242
19884.000000,266
16817.000000,247
16763.000000,232
18001.000000,218
18303.000000,233
12838.000000,283
28374.000000,195
27089.000000,216
26779.000000,227
29438.000000,228
26911.000000,214
28017.000000,218
29208.000000,215
31102.000000,200
29730.000000,220
25388.000000,266
23842.000000,234
25453.000000,268
25027.000000,274
28014.000000,281
27419.000000,243
26345.000000,367
26143.000000,276
30483.000000,285
27355.000000,289
24649.000000,298
42832.000000,253
48534.000000,349
40774.000000,278
43207.000000,283
43583.000000,280
41420.000000,274
49492.000000,308
46749.000000,244
44502.000000,292
43241.000000,244
23105.000000,359
24013.000000,310
22473.000000,314
22923.000000,354
24633.000000,329
21057.000000,400
22735.000000,283
24095.000000,358
23729.000000,371
20035.000000,321
12565.000000,178
7970.000000,241
11036.000000,220
12723.000000,161
10368.000000,166
9083.000000,230
10210.000000,172
10125.000000,208
11435.000000,199
11455.000000,191
40442.000000,318
45607.000000,479
44493.000000,407
49037.000000,291
41254.000000,341
47955.000000,355
40922.000000,374
46702.000000,320
35644.000000,360
48916.000000,379
129841.000000,563
115974.000000,652
127750.000000,558
130786.000000,780
129618.000000,610
125015.000000,663
121165.000000,770
120997.000000,582
122726.000000,804
120065.000000,689
3507.000000,131
2098.000000,137
3702.000000,142
4626.000000,138
3544.000000,140
4012.000000,142
3693.000000,139
4520.000000,139
4216.000000,151
3780.000000,184
1430.000000,186
1425.000000,187
1432.000000,171
1424.000000,212
1440.000000,224
1436.000000,189
1434.000000,158
1431.000000,208
1432.000000,184
1430.000000,173
536.000000,143
532.000000,134
529.000000,134
538.000000,138
527.000000,129
533.000000,155
531.000000,159
535.000000,149
530.000000,182
533.000000,137
929.000000,147
941.000000,125
934.000000,158
923.000000,180
932.000000,155
926.000000,217
929.000000,153
929.000000,166
925.000000,193
923.000000,178
1958.000000,271
554.000000,293
550.000000,263
572.000000,324
3049.000000,317
3037.000000,409
3036.000000,394
3033.000000,446
973.000000,324
896.000000,325
11598.000000,333
939.000000,346
924.000000,423
13293.000000,354
13253.000000,352
13252.000000,365
13256.000000,322
13254.000000,382
3257.000000,388
3212.000000,409
3329.000000,492
11587.000000,360
3319.000000,385
3227.000000,386
1382.000000,361
1354.000000,359
1362.000000,361
7639.000000,512
7632.000000,638
7645.000000,598
7631.000000,564
2353.000000,480
11605.000000,302
2353.000000,490
2359.000000,491
2430.000000,530
6624.000000,290
6625.000000,355
6632.000000,319
6612.000000,300
6636.000000,281
6000.000000,376
6000.000000,338
11608.000000,352
5878.000000,442
3827.000000,363
3832.000000,422
3840.000000,519
3827.000000,426
11607.000000,298
2146.000000,362
1971.000000,325
1968.000000,242
2018.000000,315
110.000000,219
19102.000000,202
3414.000000,153
133.000000,164
5058.000000,121
6333.000000,220
16458.000000,263
60900.000000,591
6063.000000,140
121.000000,177
6213.000000,151
6579.000000,193
23395.000000,258
99816.000000,669
6037.000000,170
118.000000,220
6665.000000,168
9261.000000,186
25243.000000,321
137319.000000,720
8598.000000,185
105.000000,200
7398.000000,153
10727.000000,172
35594.000000,366
171842.000000,615
5737.000000,156
106.000000,211
7362.000000,182
11626.000000,192
35126.000000,276
189447.000000,647
3980.000000,120
113.000000,192
5824.000000,221
14207.000000,186
4541.000000,134
125.000000,199
7225.000000,174
14476.000000,170
11109.000000,208
110.000000,184
16352.000000,187
98.000000,243
15656.000000,171
2454597.000000,204
2031217.000000,193
3352963.000000,207
4339096.000000,190
4032778.000000,200
4236641.000000,281
6266258.000000,260
6744490.000000,240
5548277.000000,215
7866498.000000,214
6887390.000000,247
6548905.000000,262
8518134.000000,235
9046555.000000,220
8282677.000000,212
2447263.000000,213
1980555.000000,219
3327990.000000,181
4264257.000000,269
3949317.000000,228
4200489.000000,264
6193366.000000,250
6734989.000000,226
5529017.000000,293
7790810.000000,275
6852539.000000,304
6368703.000000,286
8442112.000000,272
8849538.000000,291
8201007.000000,237
1107447.000000,1156
3639970.000000,1602
8598745.000000,1272
252518838.000000,124
340.000000,204
324.000000,218
389.000000,190
400.000000,201
363.000000,232
441.000000,171
367.000000,222
361.000000,212
385.000000,153
405.000000,218
227.000000,182
245.000000,209
284.000000,177
291.000000,156
251.000000,177
242.000000,175
205.000000,163
249.000000,183
293.000000,188
258.000000,184
127.000000,175
126.000000,160
125.000000,158
111.000000,156
128.000000,173
128.000000,215
122.000000,154
112.000000,173
120.000000,168
127.000000,145
78.000000,133
85.000000,154
82.000000,146
81.000000,159
70.000000,148
87.000000,152
73.000000,168
83.000000,149
81.000000,144
70.000000,145
2014.000000,196
2060.000000,210
2032.000000,208
2067.000000,202
2039.000000,192
2108.000000,199
2032.000000,182
2074.000000,193
2022.000000,166
2001.000000,234
8190.000000,207
8045.000000,238
8039.000000,227
8139.000000,164
8125.000000,231
8169.000000,249
8217.000000,184
8249.000000,198
8199.000000,174
8099.000000,177
13585.000000,186
13417.000000,258
13461.000000,182
13656.000000,206
13514.000000,232
13574.000000,238
13640.000000,247
13495.000000,234
13593.000000,269
13658.000000,210
112.000000,184
110.000000,183
112.000000,160
106.000000,157
114.000000,170
112.000000,163
110.000000,194
112.000000,163
108.000000,151
110.000000,148
878.000000,275
872.000000,274
888.000000,289
874.000000,289
878.000000,304
866.000000,307
870.000000,373
882.000000,281
864.000000,309
886.000000,352
2394.000000,394
2384.000000,347
2408.000000,378
2384.000000,407
2406.000000,391
2372.000000,367
2392.000000,363
2382.000000,349
2396.000000,412
2362.000000,355
6048220.000000,211
5757868.000000,270
6509837.000000,216
15051133.000000,291
15752637.000000,306
15228582.000000,237
24554158.000000,320
29067044.000000,405
28245472.000000,354
10933215.000000,239
11582216.000000,203
11552046.000000,316
17434469.000000,315
20130136.000000,296
19413164.000000,274
28263046.000000,310
33567306.000000,332
29018755.000000,314
651.000000,191
719.000000,205
674.000000,227
813.000000,171
668.000000,196
643.000000,161
654.000000,179
725.000000,185
721.000000,208
729.000000,205
1646.000000,198
1604.000000,168
1902.000000,153
1627.000000,190
1545.000000,190
1578.000000,203
1473.000000,172
1987.000000,221
1311.000000,219
1752.000000,223
2118.000000,186
2092.000000,205
2716.000000,229
1990.000000,199
2031.000000,204
2433.000000,233
2220.000000,183
2252.000000,193
1843.000000,199
2043.000000,196
