M=5,N=10
15352.000000,80
19412.000000,92
17256.000000,78
17565.000000,86
19125.000000,74
15868.000000,97
17368.000000,102
18629.000000,90
18649.000000,82
13294.000000,104
12201.000000,112
13060.000000,95
13046.000000,115
12418.000000,135
13867.000000,77
11403.000000,94
12915.000000,103
14068.000000,111
14701.000000,102
10458.000000,98
19049.000000,90
18691.000000,101
18797.000000,126
19302.000000,103
20765.000000,122
20381.000000,103
18482.000000,95
22127.000000,115
19534.000000,117
18191.000000,126
17924.000000,111
18889.000000,129
17639.000000,111
17314.000000,89
19884.000000,145
16817.000000,122
16780.000000,108
18001.000000,107
18303.000000,150
12838.000000,122
28374.000000,136
27089.000000,105
26712.000000,104
29379.000000,113
26911.000000,91
27988.000000,133
29208.000000,106
31086.000000,109
29590.000000,101
25388.000000,137
23842.000000,107
25367.000000,167
25027.000000,126
28014.000000,142
27397.000000,153
26355.000000,108
26145.000000,172
30483.000000,137
27261.000000,157
24651.000000,164
42808.000000,155
48534.000000,157
40690.000000,124
42843.000000,169
43632.000000,128
41468.000000,104
49492.000000,149
46828.000000,145
44502.000000,139
43241.000000,134
23158.000000,169
23956.000000,176
22515.000000,167
22923.000000,208
24591.000000,163
20966.000000,201
22735.000000,185
23953.000000,162
23732.000000,132
19971.000000,174
12565.000000,105
7970.000000,81
11036.000000,113
12723.000000,91
10368.000000,71
9083.000000,88
10210.000000,111
10125.000000,103
11435.000000,128
11455.000000,72
40442.000000,214
45607.000000,202
44505.000000,184
49037.000000,161
41202.000000,222
47961.000000,123
40802.000000,169
46713.000000,191
35428.000000,158
48636.000000,183
129958.000000,291
114438.000000,254
127886.000000,395
130716.000000,327
129827.000000,364
125093.000000,261
120600.000000,495
121036.000000,320
123092.000000,297
119830.000000,292
3507.000000,71
2098.000000,68
3702.000000,82
4626.000000,64
3544.000000,83
4012.000000,68
3693.000000,69
4520.000000,74
4216.000000,72
3780.000000,90
1430.000000,99
1425.000000,102
1432.000000,93
1424.000000,88
1440.000000,81
1436.000000,68
1434.000000,78
1431.000000,99
1431.000000,92
1430.000000,98
536.000000,93
532.000000,66
529.000000,65
538.000000,76
527.000000,66
533.000000,79
531.000000,69
535.000000,80
530.000000,94
533.000000,70
929.000000,85
941.000000,64
934.000000,84
922.000000,79
932.000000,82
926.000000,92
929.000000,79
929.000000,85
925.000000,85
923.000000,81
1955.000000,148
550.000000,105
548.000000,141
572.000000,155
3047.000000,167
3030.000000,223
3033.000000,195
3031.000000,189
982.000000,187
892.000000,171
11599.000000,179
915.000000,198
915.000000,213
13263.000000,174
13252.000000,181
13266.000000,186
13245.000000,238
13228.000000,147
3225.000000,177
3223.000000,179
3291.000000,124
11571.000000,168
3323.000000,201
3204.000000,186
1390.000000,253
1350.000000,229
1356.000000,165
7633.000000,228
7628.000000,319
7645.000000,299
7626.000000,276
2337.000000,186
11594.000000,147
2349.000000,209
2345.000000,295
2435.000000,201
6620.000000,156
6623.000000,181
6612.000000,175
6616.000000,198
6623.000000,173
6000.000000,188
5940.000000,155
11621.000000,194
5878.000000,137
3825.000000,246
3831.000000,216
3832.000000,238
3818.000000,234
11586.000000,171
2132.000000,158
1978.000000,137
1962.000000,138
2006.000000,191
27.000000,121
19102.000000,95
3414.000000,72
133.000000,90
5058.000000,60
6333.000000,120
16439.000000,137
60904.000000,376
