M=30,N=05
15352.000000,384
19412.000000,399
17290.000000,333
17565.000000,374
19125.000000,368
15868.000000,346
17368.000000,336
18629.000000,397
18649.000000,419
13294.000000,375
12201.000000,384
13067.000000,421
13046.000000,375
12418.000000,358
13867.000000,400
11403.000000,456
12915.000000,431
14068.000000,454
14701.000000,447
10458.000000,408
19049.000000,445
18691.000000,409
18827.000000,476
19302.000000,468
20765.000000,431
20417.000000,385
18482.000000,390
22194.000000,473
19534.000000,399
18195.000000,397
17944.000000,455
18889.000000,511
17816.000000,483
17314.000000,431
19884.000000,487
16817.000000,404
16780.000000,419
18001.000000,483
18303.000000,446
12838.000000,492
28374.000000,442
27089.000000,442
26779.000000,442
29438.000000,497
26911.000000,448
28017.000000,508
29221.000000,403
31164.000000,475
29730.000000,444
25388.000000,466
23842.000000,525
25453.000000,580
25027.000000,546
28023.000000,669
27434.000000,651
26355.000000,620
26146.000000,678
30483.000000,602
27355.000000,561
24656.000000,583
42832.000000,605
48534.000000,607
40821.000000,598
43207.000000,564
43735.000000,595
41482.000000,591
49492.000000,624
46813.000000,530
44502.000000,582
43241.000000,538
23146.000000,681
24075.000000,703
22507.000000,744
22923.000000,756
24621.000000,728
21038.000000,739
22735.000000,749
24095.000000,767
23787.000000,720
19979.000000,669
12565.000000,357
7970.000000,401
11036.000000,345
12723.000000,342
10368.000000,338
9083.000000,361
10210.000000,381
10125.000000,445
11435.000000,424
11455.000000,333
40442.000000,693
45607.000000,839
44774.000000,788
49037.000000,721
41236.000000,687
47935.000000,604
40966.000000,784
46757.000000,690
35708.000000,831
48916.000000,671
130485.000000,1306
115855.000000,1295
128159.000000,1312
130684.000000,1288
129697.000000,1426
124879.000000,1209
121216.000000,1397
121732.000000,1387
123314.000000,1194
119782.000000,1365
3507.000000,290
2098.000000,291
3702.000000,278
4626.000000,242
3544.000000,263
4012.000000,253
3693.000000,269
4520.000000,241
4216.000000,276
3780.000000,310
1430.000000,336
1425.000000,338
1432.000000,346
1424.000000,409
1440.000000,361
1436.000000,322
1434.000000,310
1431.000000,348
1431.000000,368
1430.000000,379
536.000000,261
532.000000,260
529.000000,254
538.000000,290
527.000000,255
533.000000,295
531.000000,286
535.000000,286
530.000000,351
533.000000,250
929.000000,317
941.000000,228
934.000000,333
923.000000,302
932.000000,310
926.000000,357
929.000000,301
929.000000,326
925.000000,380
923.000000,303
1964.000000,534
558.000000,548
550.000000,561
578.000000,504
3051.000000,725
3035.000000,820
3038.000000,662
3029.000000,669
981.000000,668
892.000000,647
11598.000000,698
936.000000,599
920.000000,601
13288.000000,681
13273.000000,594
13251.000000,711
13243.000000,625
13241.000000,693
3245.000000,699
3221.000000,677
3292.000000,643
11590.000000,556
3315.000000,603
3207.000000,617
1382.000000,697
1350.000000,639
1364.000000,746
7633.000000,960
7614.000000,1043
7641.000000,1058
7625.000000,885
2365.000000,798
11589.000000,552
2359.000000,953
2354.000000,871
2427.000000,880
6638.000000,545
6629.000000,628
6626.000000,577
6616.000000,582
6628.000000,636
6000.000000,1055
6000.000000,777
11630.000000,575
5878.000000,998
3826.000000,776
3834.000000,823
3831.000000,726
3831.000000,785
11596.000000,601
2141.000000,564
1975.000000,533
1955.000000,456
2006.000000,495
32.000000,419
19102.000000,348
3414.000000,291
133.000000,332
5058.000000,210
6333.000000,421
16458.000000,603
60928.000000,1428
6063.000000,261
121.000000,341
6213.000000,263
6579.000000,439
23381.000000,557
99780.000000,1560
6037.000000,421
118.000000,342
6665.000000,309
9261.000000,372
25243.000000,618
137352.000000,1394
8598.000000,342
129.000000,340
7398.000000,313
10727.000000,332
35594.000000,604
172189.000000,1445
5737.000000,300
123.000000,332
7362.000000,352
11626.000000,350
35154.000000,576
190275.000000,1662
3980.000000,217
118.000000,333
5824.000000,412
14207.000000,333
4541.000000,226
98.000000,344
7225.000000,359
14476.000000,361
11109.000000,317
110.000000,357
16352.000000,393
85.000000,379
15656.000000,352
2460049.000000,391
2018896.000000,351
3355622.000000,393
4353195.000000,418
4024762.000000,376
4236251.000000,503
6268901.000000,494
6751239.000000,424
5531068.000000,446
7888552.000000,461
6884722.000000,463
6520571.000000,425
8513878.000000,447
9057607.000000,406
8251475.000000,515
2447263.000000,462
1979299.000000,469
3324229.000000,371
4271580.000000,431
3947394.000000,397
4201396.000000,454
6190904.000000,469
6727840.000000,404
5538701.000000,513
7772316.000000,495
6884899.000000,494
6376152.000000,471
8467775.000000,496
8863283.000000,459
8202764.000000,515
1106697.000000,1878
3638960.000000,2381
8603430.000000,2171
252518838.000000,220
340.000000,349
324.000000,343
389.000000,337
400.000000,325
363.000000,424
441.000000,342
367.000000,342
361.000000,355
385.000000,271
405.000000,377
227.000000,344
245.000000,304
284.000000,390
291.000000,353
249.000000,314
242.000000,338
205.000000,349
249.000000,336
293.000000,329
258.000000,264
127.000000,330
126.000000,302
125.000000,366
111.000000,317
128.000000,312
128.000000,376
122.000000,336
112.000000,332
120.000000,324
127.000000,260
79.000000,256
85.000000,288
82.000000,317
81.000000,284
70.000000,287
87.000000,314
73.000000,288
83.000000,260
81.000000,273
70.000000,270
2015.000000,349
2060.000000,364
2032.000000,423
2067.000000,376
2039.000000,344
2108.000000,365
2032.000000,395
2074.000000,361
2022.000000,363
2005.000000,357
8190.000000,362
8045.000000,425
8039.000000,402
8139.000000,363
8120.000000,366
8169.000000,412
8217.000000,404
8249.000000,418
8199.000000,381
8099.000000,370
13585.000000,438
13417.000000,493
13461.000000,404
13656.000000,417
13512.000000,432
13574.000000,421
13640.000000,410
13495.000000,353
13593.000000,379
13658.000000,360
112.000000,293
110.000000,330
112.000000,320
106.000000,323
114.000000,341
112.000000,306
110.000000,346
112.000000,321
108.000000,268
110.000000,283
886.000000,592
878.000000,564
886.000000,571
870.000000,559
890.000000,639
878.000000,602
872.000000,530
882.000000,560
866.000000,602
888.000000,571
2382.000000,701
2386.000000,634
2412.000000,649
2390.000000,642
2390.000000,702
2378.000000,618
2400.000000,648
2384.000000,718
2394.000000,596
2354.000000,651
6049461.000000,431
5757868.000000,456
6509837.000000,409
15051133.000000,524
15746520.000000,542
15223911.000000,532
24778822.000000,598
29160563.000000,567
28199294.000000,608
10933215.000000,445
11582216.000000,468
11552046.000000,455
17345088.000000,538
20148460.000000,565
